index,comuna,lat,lon,alias,pp,grupo
0,Buin,-33.7427629,-70.748651,Buin Centro,70.0,RM
1,Buin,-33.747465,-70.735897,Linderos,67.0,RM
2,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,61.0,RM
3,Calera de Tango,-33.63026,-70.75037,Almendros,58.0,RM
4,Cerro Navia,-33.417376,-70.75786,Harry,47.8,RM
5,Colina,-33.260994,-70.644855,Ñipa,57.0,RM
6,Colina,-33.307339,-70.660102,Chamisero,51.7,RM
7,Conchalí,-33.38773,-70.65886,Conchalí 1,55.0,RM
8,Huechuraba,-33.347483,-70.663776,Los Guindos,65.0,RM
9,Isla de Maipo,-33.704432,-70.89853,Granortu,59.0,RM
10,La Cisterna,-33.526,-70.657,Sora-2,66.0,RM
11,La Cisterna ,-33.52583,-70.667812,San Simón,47.0,RM
12,La Florida,-33.566723,-70.592142,Guacolda,47.0,RM
13,La Florida,-33.5350191,-70.5787438,Costa Rica,46.5,RM
14,La Florida,-33.53039167,-70.56961667,Casa_Sary,46.0,RM
15,La Florida,-33.5387504,-70.58643,MDM,45.8,RM
16,La Florida,-33.52336,-70.56212,Miravalle,43.0,RM
17,La Reina,-33.43648,-70.54493,asilvam,60.5,RM
18,La Reina,-33.452259,-70.554147,San Benito,56.0,RM
19,La Reina,-33.438747,-70.522457,Monbel,55.0,RM
20,La Reina,-33.434636,-70.522047,Petricor,54.5,RM
21,La Reina,-33.459283,-70.56545,FG6189,45.0,RM
22,La Reina,-33.445699,-70.553097,OpaHouse,42.0,RM
23,La Reina,-33.45492,-70.56167,Milna,38.0,RM
24,La Reina,-33.44194,-70.56306,Tadeo,38.0,RM
25,La Reina,-33.4325123,-70.5797009,thequeen,37.0,RM
26,Las Condes,-33.37354,-70.5041,La Posada MK,54.5,RM
27,Las Condes,-33.405679,-70.55212,pluv_lcbv,52.0,RM
28,Las Condes,-33.41069,-70.51004,Marley,48.0,RM
29,Las Condes,-33.379558,-70.519431,Huerta_JLG,47.0,RM
30,Las Condes,-33.41354,-70.58728,MPM,47.0,RM
31,Las Condes,-33.423889,-70.557545,Dreal,43.0,RM
32,Las Condes,-33.426634,-70.587151,Teruel,41.0,RM
33,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,72.0,RM
34,Lo Barnechea,-33.3297222,-70.5038889,JPMG,60.0,RM
35,Lo Barnechea,-33.342583,-70.47025,POMcI,60.0,RM
36,Lo Barnechea,-33.363563,-70.496013,San Enrique,58.0,RM
37,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,53.0,RM
38,Lo Barnechea,-33.365434,-70.498209,CasaIsidora,50.0,RM
